Type	Name	Old Code	New Code	Parent Name
Region	Other Middle East		70100	Middle East
Region	Red Sea and Gulf of Aden		70200	Middle East
Region	Persian Gulf and the Gulf of Oman		70400	Middle East
Region	South Asia		80200	Asia
