Type	Name	Old Code	New Code
Place	Americas, region unspecified	77780200	90299
Place	Asia, port unspecified	77780199	80999
Place	Basse Indre	77780604	10764
Place	Caribbean (colony unspecified)	39002	39001
Place	Columbia	22125	22117
Place	Bristol	104991	10404
