"id","region_id","name","latitude","longitude","order_num","show_at_zoom","show_on_main_map","show_on_voyage_map"
"60327","60300","River Kissey","8.5001320000000007","-13.120396","60327","0","t","t"
"60328","60300","Sassandra","4.9500000000000002","-6.0833329999999997","60328","0","t","t"
"60331","60300","St. Paul","6.380001","-10.792455","60331","0","t","t"
"60332","60300","Tabou","4.4166670000000003","-7.3499999999999996","60332","0","f","t"
"60333","60300","Trade Town","5.7999999999999998","-9.8499999999999996","60333","0","f","t"
"60334","60300","Liberia","6.3174999999999999","-10.779722","60334","0","f","t"
"60335","60300","Ivory Coast","5.1659459999999999","-4.8799999999999999","60335","0","f","t"
"60399","60300","Windward Coast, port unspecified","6.7040740489999999","-11.309052680000001","60399","0","f","t"
"60402","60400","Danish Gold Coast","5.5418880000000001","-0.19930100000000001","60402","0","t","t"
"60404","60400","Accra","5.5499999999999998","-0.216667","60404","0","t","t"
"60405","60400","Alampo","5.2907419999999998","-0.91589500000000001","60405","0","t","t"
"60409","60400","Apammin","5.2833329999999998","-0.73333300000000001","60409","0","t","t"
"60410","60400","Apollonia","4.9348859999999997","-2.3647170000000002","60410","0","t","t"
"60411","60400","Axim","4.8683329999999998","-2.2413889999999999","60411","0","t","t"
"60412","60400","Cape Coast Castle","5.1825089999999996","-1.1166160000000001","60412","0","t","t"
"60414","60400","Christiansborg","5.5499999999999998","-0.183333","60414","0","t","t"
"60415","60400","Elmina","5.0833329999999997","-1.3500000000000001","60415","0","t","t"
"60417","60400","Kormantine","5.2000000000000002","-1.0833330000000001","60417","0","t","t"
"60425","60400","Wiamba","5.3333329999999997","-0.61666699999999997","60425","0","t","t"
"60427","60400","Gold Coast east of Kormantine","5.3578419999999998","-0.56000000000000005","60427","0","f","t"
"60499","60400","Gold Coast, port unspecified","5.190771561","-1.0992010990000001","60499","0","f","t"
"60503","60500","Aghway","6.1988890000000003","1.48","60503","0","f","t"
"60506","60500","Ardra","6.4000000000000004","2.2000000000000002","60506","0","t","t"
"60507","60500","Badagry","6.4166670000000003","3.0499999999999998","60507","0","t","t"
"60508","60500","Dixcove","4.7999999999999998","-1.95","60508","0","t","t"
"60509","60500","Epe","6.4166670000000003","2.8833329999999999","60509","0","t","t"
"60510","60500","Popo","6.2633330000000003","1.6899999999999999","60510","0","t","t"
"60511","60500","Little Popo","6.233333","1.6000000000000001","60511","0","t","t"
"60512","60500","Grand Popo","6.2833329999999998","1.8333330000000001","60512","0","t","t"
"60514","60500","Jacquin","6.3698394289999998","2.5136383630000001","60514","0","t","t"
"60515","60500","Whydah","6.3666669999999996","2.0833330000000001","60515","0","t","t"
"60516","60500","Keta","5.9166670000000003","0.98333300000000001","60516","0","t","t"
"60517","60500","Lagos, Onim","6.4530560000000001","3.3958330000000001","60517","0","t","t"
"60521","60500","Oerê","5.75","5.0800000000000001","60521","0","f","t"
"60523","60500","Porto Novo","6.483333","2.6166670000000001","60523","0","t","t"
"60524","60500","Rio Forcados","5.386412","5.2800000000000002","60524","0","f","t"
"60526","60500","Rio Nun","4.3132770000000002","6.049582","60526","0","t","t"
"60599","60500","Bight of Benin, port unspecified","6.3666669999999996","2.0833330000000001","60599","0","f","t"
"60601","60600","Andony","4.4786450000000002","7.1900000000000004","60601","0","f","t"
"60604","60600","Bimbia","3.9544440000000001","9.2449999999999992","60604","0","t","t"
"60605","60600","Bonny","4.4333330000000002","7.1666670000000003","60605","0","t","t"
"60608","60600","Calabar","4.9500000000000002","8.3166670000000007","60608","0","t","t"
"60609","60600","Cameroons","3.9130850000000001","9.5806249999999995","60609","0","t","t"
"60610","60600","Cameroons River","3.9130850000000001","9.5806249999999995","60610","0","f","t"
"60612","60600","Cap Lopez","-0.62539599999999995","8.7115539999999996","60612","0","t","t"
"60613","60600","Cap Lopez And Cabo Santa Catarina","-0.62539599999999995","8.7115539999999996","60613","0","f","t"
"60615","60600","Corisco","0.91456800000000005","9.3170079999999995","60615","0","t","t"
"60619","60600","Formosa","4.3122069999999999","6.0258848","60619","0","t","t"
"60620","60600","Gabon","0.20738500000000001","9.8933689999999999","60620","0","t","t"
"60622","60600","New Calabar","4.5742000000000003","6.9757999999999996","60622","0","t","t"
"60624","60600","River Brass","4.3293910000000002","6.5070499999999996","60624","0","t","t"
"60625","60600","River del Rey","4.733333","8.6500000000000004","60625","0","t","t"
"60661","60600","Annobon","5.6325000000000003","-1.401389","60661","0","t","t"
"60668","60600","Princes Island","1.566667","7.3499999999999996","60668","0","t","t"
"60673","60600","São Tomé","0.33333299999999999","6.733333","60673","0","t","t"
"60676","60600","São Tomé or Princes Island","0.18609800000000001","6.6594740000000003","60676","0","t","t"
"60699","60600","Bight of Biafra and Gulf of Guinea Islands, port unspecified","4.4333330000000002","7.1666670000000003","60699","0","f","t"
"60703","60700","Ambriz","-7.8499999999999996","13.116667","60703","0","t","t"
"60704","60700","Ambrizete","-7.2333299999999996","12.869999999999999","60704","0","f","t"
"60707","60700","Benguela","-12.578333000000001","13.407222000000001","60707","0","t","t"
"60708","60700","Benguela Velho","-10.7333","13.75","60708","0","f","t"
"60709","60700","Boary","-4.7264630350000001","11.841434059999999","60709","0","t","t"
"60711","60700","Cabinda","-5.5499999999999998","12.199999999999999","60711","0","t","t"
"60715","60700","Coanza River","-9.3181080000000005","13.17567","60715","0","t","t"
"60717","60700","Congo River","-5.8946170000000002","12.971107999999999","60717","0","t","t"
"60718","60700","Rio Zaire","-5.8946170000000002","12.971107999999999","60718","0","f","t"
"60722","60700","Kilongo","-4.1097219999999997","11.349722","60722","0","t","t"
"60724","60700","Loango","-4.6519440000000003","11.8125","60724","0","t","t"
